	895
UNITED STATES GOVERNMENT PRINTING OFFICE	477
GOVERNMENT PRINT OFF	314
COMMISSION	163
CENTRAL INTELLIGENCE AGENCY	121
OFFICE	94
SN	73
SMITHSONIAN INSTITUTION PRESS	65
UNITED STATES DEPARTMENT OF COMMERCE BUREAU OF CENSUS	52
BUREAU	51
NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION UNITED STATES DEPARTMENT OF JUSTICE	49
SERVICE	48
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH	47
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION	43
UNITED STATES LIBRARY OF CONGRESS	43
CONGRESS OF UNITED STATES OFFICE OF TECHNOLOGY ASSESSMENT	39
SUPT OF DOCS UNITED STATES GPO DISTRIBUTOR	38
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL BUREAU OF STANDARDS	38
COMMUNITY SERVICES ADMINISTRATION	36
COUNCIL	36
UNITED STATES GPO	34
DEPARTMENT	33
ADMINISTRATION	33
LIBRARY OF CONGRESS	33
LIBRARY	32
CENTER	29
NATIONAL COMMISSION ON EMPLOYMENT AND UNEMPLOYMENT STATISTICS	27
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF POLICY DEVELOPMENT AND RESEARCH	27
UNITED STATES GENERAL ACCOUNTING OFFICE	24
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF POLICY DEVELOPMENT AND RESEARCH	23
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL AND REHABILITATION SERVICE ADMINISTRATION ON AGING	22
SCIENTIFIC AND TECHNICAL INFORMATION OFFICE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	22
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE	21
NATIONAL TECHNICAL INFORMATION SERVICE	20
AGENCY	20
UNITED STATES DEPARTMENT OF LABOR EMPLOYMENT AND TRAINING ADMINISTRATION	19
AVAILABLE THROUGH NATIONAL TECHNICAL INFORMATION SERVICE	19
ADVISORY COMMISSION ON INTERGOVERNMENTAL RELATIONS	18
UNITED STATES COMMISSION ON CIVIL RIGHTS	18
NATIONAL SCIENCE FOUNDATION	18
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL CANCER INSTITUTE	18
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION NATIONAL CENTER FOR EDUCATION STATISTICS	17
UNITED STATES DEPARTMENT OF AGRICULTURE	17
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH	16
UNITED STATES DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE	16
GROUP	16
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	16
UNITED STATES DEPARTMENT OF COMMERCE	15
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION OFFICE OF RESEARCH AND STATISTICS	15
NATIONAL BUREAU OF STANDARDS	15
DEPARTMENT OF HEALTH EDUCATION AND WELFARE	14
NATIONAL ENDOWMENT FOR ARTS	14
DIVISION	14
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF LAND MANAGEMENT	14
UNITED STATES DEPARTMENT OF TRANSPORTATION	14
DEPARTMENT OF STATE	13
BUREAU OF MINES UNITED STATES DEPARTMENT OF INTERIOR	13
INSTITUTE	13
UNITED STATES DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL CRIMINAL JUSTICE INFORMATION AND STATISTICS SERVICE	13
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH MANPOWER DIVISION OF DENTISTRY	12
NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE	12
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION	12
SMITHSONIAN INSTITUTION	12
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION	12
NATIONAL DEFENSE UNIVERSITY RESEARCH DIRECTORATE	12
DEPARTMENT OF ARMY	12
DEPARTMENT OF COMMERCE NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION	11
